Sorgu,Restoran Adı,Adres,Enlem,Boylam,Mesafe (km),Web Sitesi
köfte,Lütfü Bey Çiğ Köfte Künefe,"Hamitler, Bostancı Cd. No:5, 16160 Osmangazi̇/Bursa, Türkiye",40.2482404,28.9899103,1.447,Web Sitesi Yok
fast food,Skully's Burgers,"Fethiye Mh Sanayi Cd Fsm Corner Plus Iş Merkezi D:263 No:9, Fethiye, 16140 Ni̇lüfer/Bursa, Türkiye",40.2316667,28.981944399999996,1.458,Web Sitesi Yok
pizza,Domino's Pizza Yunuseli,"Hamitler, Bostancı Cd. No: 5/A, 16175 Osmangazi̇/Bursa, Türkiye",40.248547599999995,28.989924900000002,1.477,https://www.dominos.com.tr/subeler/bursa/yunuseli-40589
fast food,Saysallar,"Hamitler, 3. Nazlı Sokak, Hamitler Futbol Sahası Karşısı 21/A, 16160 Osmangazi̇/Bursa, Türkiye",40.244295,28.982769999999995,1.53,Web Sitesi Yok
pizza,Little Caesars Yunuseli Şubesi,"Güneştepe, cadde No:9 no:6, 16160 Osmangazi̇/Bursa, Türkiye",40.2506498,28.9969058,1.553,https://www.littlecaesars.com.tr/?utm_source=GMB&utm_medium=local&utm_campaign=LC-Yunuseli-Bursa-Profile-Click
döner,Melike Döner,"Yenikaraman, Polat Cd. No:116, 16160 Osmangazi̇/Bursa, Türkiye",40.2224206,28.9958766,1.596,http://www.melikedoner.com/
kebap,Öz Urfa Çamlık Kebap,"Fethiye, Huzur Cd. No:9, 16140 Ni̇lüfer/Bursa, Türkiye",40.2324361,28.979017,1.663,Web Sitesi Yok
kebap,Mustafa Usta,"Esentepe, Yiğitler Sk. No:5, 16130 Ni̇lüfer/Bursa, Türkiye",40.2281165,28.981682499999998,1.668,Web Sitesi Yok
kebap,By İrfan Usta Yaprak Döner Kebap Pide,"Fethiye, Fatih Sultan Mehmet Blv. No:161, 16140 Ni̇lüfer/Bursa, Türkiye",40.228774099999995,28.9805349,1.71,https://byirfanusta.com.tr/
kebap,Kebapçı Faruk Usta,"İstiklal, 2. Dumlupınar Sk. No:24, 16160 Osmangazi̇/Bursa, Türkiye",40.2230877,29.007465599999996,1.722,Web Sitesi Yok
lokanta,Mutlu Lokantası,"İstiklal, İstiklal Caddesi Uludağ Sokak No:27, 16200 Osmangazi̇/Bursa, Türkiye",40.2229392,29.0075131,1.738,Web Sitesi Yok
restoran,Elmalı Restaurant,"Yenikaraman, Sanayi Cd. 106 A, 16170 Osmangazi̇/Bursa, Türkiye",40.2207866,28.996762999999994,1.772,Web Sitesi Yok
köfte,Komagene Etsiz Çiğ Köfte,"Güneştepe, 1. Fatih Cd No:26, 16000 Osmangazi̇/Bursa, Türkiye",40.252719299999995,28.9969978,1.783,https://komagene.com.tr/
lokanta,Ertuğrul Et Lokantası,"Esentepe, Tuna Cd., 16130 Ni̇lüfer/Bursa, Türkiye",40.222299799999995,28.9876464,1.818,Web Sitesi Yok
köfte,Babacan Çiğ Köfte Osmangazi,"Ali Bostancı, Güneştepe, 1. Fatih Cd D:11. Etap A Blok No: 28/A, 16160 Osmangazi̇/Bursa, Türkiye",40.2531004,28.9975147,1.824,https://babacanyeninesilcigkofte.com/
cafe,Çizmeli Kedi,"Fethiye, Fatih Sultan Mehmet Blv. No:145 D:A, 16110 Ni̇lüfer/Bursa, Türkiye",40.227607899999995,28.979765000000004,1.835,Web Sitesi Yok
restoran,Zengin Lokantası,"Hürriyet, 5. Vatan Sk. No:3, 16170 Osmangazi̇/Bursa, Türkiye",40.220994999999995,29.004620300000003,1.84,Web Sitesi Yok
lokanta,Kerim Usta,"Hürriyet, 5. Vatan Sk. No:5, 16170 Osmangazi̇/Bursa, Türkiye",40.220948299999996,29.004575900000003,1.844,Web Sitesi Yok
köfte,Oses Çiğ Köfte Yunuseli,"Yunuseli, Fuat Kuşçuoğlu Cd. No:175, 16165 Osmangazi̇/Bursa, Türkiye",40.2468417,29.0153394,1.868,http://www.oses.com.tr/
kebap,Bursa pidecizade kebap lahmacun salonu,"Yunuseli, fuat kuşçuoğlu cadddesi no154, 16180, Yunuseli, 16200 Osmangazi̇/Bursa, Türkiye",40.246950999999996,29.015699599999998,1.899,Web Sitesi Yok
lokanta,Kervan Lokantası,"Dernekler Yerleşkesi, Karaman, Tuna Cd. No:27/B, 16130 Ni̇lüfer/Bursa, Türkiye",40.2192807,28.994416899999997,1.958,Web Sitesi Yok
pizza,Pizzabulls Yunuseli - Osmangazi,"Güneştepe, 2. Meşe Cd. 27-41C, 16165 Osmangazi̇/Bursa, Türkiye",40.254153200000005,29.0018495,1.971,https://www.pizzabulls.com/
fast food,Hobi,"Esentepe, Tuna Cd. No:106, 16130 Ni̇lüfer/Bursa, Türkiye",40.2248285,28.979901800000004,2.013,http://www.hobipaket.com/
pizza,Pasaport Pizza Yunuseli,"Güneştepe, 1. Fatih Cd No:57, 16165 Osmangazi̇/Bursa, Türkiye",40.254826,28.996647300000003,2.018,http://www.pasaportpizza.com/
lokanta,Kardeşler Lokantası,"İhsaniye, Fatih Cd., Cami Sokak 9/A, 16130 Ni̇lüfer/Bursa, Türkiye",40.220566,28.986403,2.038,Web Sitesi Yok
kebap,Sini Kebap Lahmacun,"İhsaniye, Kanuni Cad. 45/A, 16130 Ni̇lüfer/Bursa, Türkiye",40.2219695,28.982578800000002,2.086,https://menuler.tr/sini-kebap-lahmacun
